,NAME OF COMPANY,SYMBOL,Sscore,address1,address2,ask,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bookValue,cagr,city,compensationAsOfEpochDate,country,currency,currentPrice,dayHigh,dayLow,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,exchange,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,financialCurrency,firstTradeDateEpochUtc,floatShares,gmtOffSetMilliseconds,grossMargins,grossProfits,industry,kendall,lastFiscalYearEnd,longBusinessSummary,longName,marketCap,market_cagr,maxAge,mostRecentQuarter,netIncomeToCommon,net_cagr,nextFiscalYearEnd,open,operatingMargins,payoutRatio,pearson,period,phone,previousClose,price,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,quoteType,recommendationKey,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,returns,revenueGrowth,revenuePerShare,sector,sharesOutstanding,sharp_ratio,shortName,spearman,std,symbol,timeZoneFullName,timeZoneShortName,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEps,trailingPE,trailingPegRatio,twoHundredDayAverage,underlyingSymbol,uuid,volitility,volume,website,zip
593,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.NS,2350621752.5881915,P.O. Narmadanagar,,0.0,1521613.0,1053837.0,1521613.0,0.386255,0.0,587.489,0.16488248811935113,Bharuch,1609372800.0,India,INR,623.4,624.0,610.15,0.022,-0.846,-0.846,12246700032.0,0.13336,5.762,0.768,70563659776.0,NSI,581.502,789.25,484.45,INR,1025495100.0,88607324.0,19800000.0,0.28487,30662900000.0,Chemicals,0.24820557874298674,1680220800.0,"Gujarat Narmada Valley Fertilizers & Chemicals Limited manufactures and markets fertilizers and chemicals in India and internationally. It offers fertilizers, such as neem coated urea, ammonium nitro phosphate, neem de-oiled cake, Neem Manure, and neem pesticides under the NARMADA brand; and various neem based products, including soaps, hand and face wash products, hair oil, and shampoos. The company also trades in di-ammonium phosphate, muriate of potash, ammonium sulphate, single super phosphate, and city compost. In addition, it provides industrial chemicals, such as methanol, acetic acid, toluene di  isocyanate, aniline, concentrated nitric acid, weak nitric acid, formic acid, ammonium nitrate, ethyl acetate, methyl formate, calcium carbonate, nitrobenzene, catsol, and technical grade urea, as well as other products comprising hydrochloric acid, liquid nitrogen, ortho-toluene diamine, meta-toluene diamine, dilute sulphuric acid, dilute nitric acid, and sodium hypochlorite. Further, the company offers various information technology services consisting of public key infrastructure and digital signature certificate, system integration, smart cities implementation, e-auction, e-procurement, blockchain, education domain, e-governance, data center and cloud services, and CCTV surveillance systems, as well as s cyber security, and IT consulting and application development services. The company was formerly known as Gujarat Narmada Valley Fertilizers Co. Ltd. Gujarat Narmada Valley Fertilizers & Chemicals Limited was incorporated in 1976 and is headquartered in Bharuch, India.",Gujarat Narmada Valley Fertilizers & Chemicals Limited,96888209408.0,0.0956230560312481,86400.0,1688083200.0,9880000512.0,0.06925943208810303,1711843200.0,612.0,0.09997,0.1576,0.36473375711828193,12.668493150684931,91 26 4224 7001,609.5,623.4000244140625,2.0,1.0611262,1.0550823,0.10759,EQUITY,none,624.0,610.15,612.0,609.5,1795864.0,0.155964778542453,-0.387,592.546,Basic Materials,155419008.0,0.024261174470565684,GUJARAT NARMADA VA,0.36315471670420874,0.025510218069195963,GNFC.NS,Asia/Kolkata,IST,23150000128.0,149.423,20000000.0,91830001664.0,0.0,0.0,63.44,9.826609,,567.60724,GNFC.NS,56821713-2a4b-36eb-a80b-f004930881e8,6.428574953437383,1795864.0,https://www.gnfc.in,392015
594,Goa Carbon Limited,GOACARBON.NS,89518387.5369634,Dempo House,Campal,0.0,52077.0,101320.0,52077.0,1.476641,0.0,203.339,0.16866315180356173,Panaji,1703980800.0,India,INR,530.9,535.0,525.95,226.958,-0.131,-0.131,1416902016.0,0.09193,4.984,0.458,7061673984.0,NSI,536.122,682.8,388.0,INR,1181015100.0,3457995.0,19800000.0,0.14764,2310035000.0,Specialty Chemicals,0.23859821328729602,1680220800.0,"Goa Carbon Limited manufactures and sells calcined petroleum coke in India. It serves aluminum, graphite, electrode, foundry, glass, carbon paste, steel, and titanium dioxide industries, as well as metallurgical and chemical industries. The company was incorporated in 1967 and is based in Panaji, India. Goa Carbon Limited operates as a subsidiary of V. S. Dempo Holdings Private Limited.",Goa Carbon Limited,4858292736.0,0.0956230560312481,86400.0,1688083200.0,788556032.0,0.07304009577231363,1711843200.0,527.0,0.090500005,0.116000004,0.2919242459140659,12.668493150684931,91 83 2244 1300,527.0,530.9000244140625,2.0,2.610911,0.3152182,0.05116,EQUITY,none,535.0,525.95,527.0,527.0,58886.0,0.15927606382233092,0.862,1684.246,Basic Materials,9151050.0,0.01842589411577265,GOA CARBON,0.3491993508181431,0.0343021548012588,GOACARBON.NS,Asia/Kolkata,IST,2016957952.0,220.483,4222016000.0,15412474880.0,0.0,0.0,86.17,6.1610775,,512.67377,GOACARBON.NS,8ea80b1c-cad9-3653-87ea-bc648b03ec62,8.644143009917217,58886.0,https://www.goacarbon.com,403001
595,GOCL Corporation Limited,GOCLCORP.NS,315771790.2326011,IDL Road,Kukatpally,0.0,81688.0,112294.0,81688.0,1.207853,0.0,284.766,0.1308395698786824,Hyderabad,1672444800.0,India,INR,431.5,437.1,424.0,125.396,-0.903,-0.903,-45940248.0,-0.00521,-824.908,4.3,37896495104.0,NSI,386.246,478.0,253.8,INR,1194493500.0,9896084.0,19800000.0,0.21465999,1937955000.0,Specialty Chemicals,0.21439103092305783,1680220800.0,"GOCL Corporation Limited engages in energetics, mining and infrastructure services, and realty businesses in India and internationally. The company operates through Energetics and Explosives, and Realty segments. It manufactures detonators, cords, boosters, and other accessories for use in mining and infrastructure activities; produces and markets cartridge and bulk explosives for mining and infrastructure projects; and provides metal cladding products. The company also designs, manufactures, and tests electronic components for original equipment manufacturers (OEMs) in the automotive, medical, automation and robotics, IOP devices, and other sectors; and designs and manufactures squibs and ignitors, pyro cartridges, canopy severence system, pyrotech cartridges, delay detonators, pyro and initiating devices, explosive trains, and space application products. In addition, it develops commercial mixed-use properties comprising SEZ and commercial office space. The company was formerly known as GULF OIL Corporation Limited and changed its name to GOCL Corporation Limited in October 2015. GOCL Corporation Limited was incorporated in 1961 and is based in Hyderabad, India.",GOCL Corporation Limited,21402873856.0,0.0956230560312481,86400.0,1688083200.0,982675008.0,0.035216513847434294,1711843200.0,427.15,-0.017690001,0.1514,0.2763509644649915,12.668493150684931,91 40 2381 0671,428.65,431.5,2.0,1.5152793,2.4284642,0.111499995,EQUITY,none,437.1,424.0,427.15,428.65,81518.0,0.12569516415928003,-0.167,177.72,Basic Materials,49572500.0,0.014753709822201231,GOCL CORPORATION L,0.31601758420264897,0.033807790716801435,GOCLCORP.NS,Asia/Kolkata,IST,1279713024.0,25.783,17674637312.0,8813337600.0,0.0,0.0,19.84,21.748991,,345.6005,GOCLCORP.NS,b6adfa35-abdd-3660-9571-6482e0b0daed,8.519563260633962,81518.0,https://www.goclcorp.com,500072
596,Go Fashion (India) Limited,GOCOLORS.NS,534095308.9058073,"No.4, Sathak Center",5th Floor Nungambakkam High Road,0.0,61726.0,241222.0,61726.0,,0.0,96.511,0.04421080758773721,Chennai,1703980800.0,India,INR,1352.5,1365.95,1324.95,65.232,0.077,0.075,2361358592.0,0.34213,31.713,10.85,74884882432.0,NSI,1196.302,1453.0,876.05,INR,1638243900.0,24602361.0,19800000.0,0.60866,3927652000.0,Apparel Manufacturing,0.11905611655784853,1680220800.0,"Go Fashion (India) Limited engages in the design, development, sourcing, marketing, and retailing of women's bottom-wear and kids apparel products under the Go Colors brand in India. Its bottom-wear products include churidars, leggings, dhotis, harem pants, patiala, palazzos, culottes, pants, trousers, and jeggings in various categories, such as ethnic wear, western wear, fusion wear, athleisure, denims, plus sizes, and girl's wear. The company sells its products through various brand outlets, as well as through its website, online marketplaces, and multi-brand outlets. The company was formerly known as Go Fashion (India) Private Limited and changed its name to Go Fashion (India) Limited. Go Fashion (India) Limited was incorporated in 2010 and is headquartered in Chennai, India.",Go Fashion (India) Limited,73470779392.0,0.08073433249651352,86400.0,1688083200.0,846390016.0,-0.036523524908776306,1711843200.0,1348.7,0.18866,0.0,0.24626740427885815,1.7534246575342465,91 44 4211 1777,1345.0,1352.5,2.0,14.013947,10.64508,0.12262999,EQUITY,none,1365.95,1324.95,1348.7,1345.0,35368.0,0.04374281251615608,0.151,127.85,Consumer Cyclical,54009000.0,0.0072694928967088545,Go Fashion India Ltd,0.1749262123731993,0.023878225320009935,GOCOLORS.NS,Asia/Kolkata,IST,1089001984.0,20.181,3394976000.0,6901853184.0,0.0,0.0,16.14,83.79802,,1112.6853,GOCOLORS.NS,84508a3b-b48e-3393-be72-b91462c5322c,6.017312780642504,35368.0,https://gocolors.com,600034
597,Godfrey Phillips India Limited,GODFRYPHLP.NS,2425268632.47075,Omaxe Square,Plot No.14 Jasola District Centre Jasola,0.0,72124.0,140327.0,72124.0,0.29587,0.0,682.331,0.15311053102500116,New Delhi,1703980800.0,India,INR,2132.35,2187.95,2126.1,9.99,0.788,0.788,8731843584.0,0.23091,13.065,3.017,114084929536.0,NSI,1905.357,2252.2,1047.0,INR,915421500.0,14587461.0,19800000.0,0.48751,17250642000.0,Tobacco,0.2314020544291552,1680220800.0,"Godfrey Phillips India Limited manufactures and sells cigarettes, chewing products, and tobacco products primarily in India. It operates through Cigarette, Tobacco, and Related Products; Retail and Related products; and Others segments. The company also manufactures cut tobacco; and trades in and distributes tobacco and other retail products, and vaping devices. Godfrey Phillips India Limited sells its cigarette products under the Four Square, Red and White, Cavanders, Stellar, Focus, North Pole and Tipper, and Marlboro brands; and candies under the Funda Goli brand name. In addition, the company operates convenience stores under the 24SEVEN name. Further, it is also involved in the real estate business. The company also exports its products. Godfrey Phillips India Limited was incorporated in 1936 and is based in New Delhi, India.",Godfrey Phillips India Limited,110984773632.0,0.0956230560312481,86400.0,1688083200.0,8026200064.0,0.05748747499375306,1711843200.0,2164.0,0.18601,0.21079999,0.32108730882395764,12.668493150684931,91 11 2683 2155,2151.25,2132.35009765625,2.0,3.1250963,2.9349792,0.21225001,EQUITY,none,2187.95,2126.1,2164.0,2151.25,53365.0,0.14558507970699708,0.265,727.293,Consumer Defensive,51993900.0,0.021852264532361738,GODFREY PHILLIPS,0.3391628214505165,0.026437469188161207,GODFRYPHLP.NS,Asia/Kolkata,IST,1787500032.0,34.38,3549799936.0,37814501376.0,0.0,0.0,132.8,16.056852,,1839.138,GODFRYPHLP.NS,9c1474a3-024c-37ac-ab5b-8bb2f56254f1,6.662242235416624,53365.0,https://www.godfreyphillips.com,110025
598,Godha Cabcon & Insulation Limited,GODHA.NS,-2552314.438978586,"36-D, Sector B",Sanwer Road Industrial Area,0.0,15606653.0,4743507.0,15606653.0,-0.259309,0.0,0.991,-0.08864559267407868,Indore,1672444800.0,India,INR,0.95,0.95,0.95,10.539,,,-22078250.0,-0.79116,-12.023,9.512,265438000.0,NSI,1.045,4.25,0.8,INR,1527219900.0,58956520.0,19800000.0,0.55536,,Electrical Equipment & Parts,0.007115819377405394,1680220800.0,"Godha Cabcon & Insulation Limited manufactures and sells electronic cables and conductors in India. The company provides aluminum alloy conductors for use in the primary and secondary distribution; aluminum and steel reinforced conductors; aluminum conductors that are used primarily for overhead transmission, and primary and secondary distribution; and power cables for the supply of electricity in underground systems, power networks, and power ducting. It also offers ACSR conductor, stay, and DPC wires, as well as XLP coated wires and conductors. The company was founded in 1987 and is based in Indore, India.",Godha Cabcon & Insulation Limited,243433696.0,0.1262682537703108,86400.0,1688083200.0,-15103000.0,-0.2149138464443895,1711843200.0,0.95,-0.91009,0.0,0.003363333749972649,5.273972602739726,91 73 1402 9509,1.0,0.949999988079071,4.0,0.95862764,8.723346,-0.54121,EQUITY,none,0.95,0.95,0.95,1.0,4067145.0,-0.09482409545737679,-0.91,0.105,Industrials,256246000.0,-0.010484639065655832,Godha Cabcon Insulat Ltd,0.009206740379989501,0.035889274845656426,GODHA.NS,Asia/Kolkata,IST,10470000.0,0.044,24958000.0,27906000.0,0.0,0.0,0.67,1.4179103,,1.52325,GODHA.NS,426c0646-5b66-336a-b623-f03eb73ee182,9.044097261105419,4067145.0,https://www.godhacabcon.com,452006
599,Godrej Agrovet Limited,GODREJAGRO.NS,-223936866.57868898,Godrej One,"3rd Floor, Pirojshanagar Eastern Express Highway Vikhroli (East)",480.65,129299.0,210116.0,129299.0,0.340216,0.0,121.644,-0.0111769225869075,Mumbai,1703980800.0,India,INR,480.65,482.6,477.1,52.231,0.274,0.273,5347924992.0,0.0571,20.697,1.182,110688518144.0,NSI,476.261,557.7,390.85,INR,1508125500.0,31026297.0,19800000.0,0.21632,19400300000.0,Farm Products,0.20153030342108175,1680220800.0,"Godrej Agrovet Limited, an agri-business company, provides products and services that enhance crop and livestock yields in India and internationally. It operates through Animal Feed, Crop Protection, Vegetable Oil, Real Estate, Seed Business, Energy Generation through Windmill, and Cattle Breeding segments. The company offers animal feed, such as cattle, poultry, and aqua feed. It also engages in the oil palm cultivation with approximately 75,000 hectares of plantations across Andhra Pradesh, Telangana, Tamil Nadu, Goa, Maharashtra, and Mizoram producing crude palm oil, crude palm kernel oil, and palm kernel cake. In addition, the company produces and markets crop protection products, including plant growth regulators, bio-stimulants, herbicides, insecticides, fungicides, and fertilizers and organic manures. Further, it manufactures and markets poultry and meat products under the Real Good Chicken name; vegetarian and non-vegetarian ready-to-cook products under the Godrej Yummiez name; and processes and sells milk and milk products under the Godrej Jersey brand. Additionally, the company produces agrochemical active ingredients, intermediates, bulk and formulations, and pharmaceutical intermediates. The company was incorporated in 1991 and is based in Mumbai, India. Godrej Agrovet Limited is a subsidiary of Godrej Industries Limited.",Godrej Agrovet Limited,92386222080.0,0.12547511707220282,86400.0,1688083200.0,3245199872.0,-0.13665203965911032,1711843200.0,477.1,0.0387,0.5625,0.3245367879789635,5.879452054794521,91 22 2519 4416,479.7,480.6499938964844,2.0,3.9512842,0.9863726,0.034649998,EQUITY,buy,482.6,477.1,477.1,479.7,66449.0,-0.01145337940788025,0.0,487.535,Consumer Defensive,192211008.0,-0.0024239205969995756,GODREJ AGROVET LTD,0.29206740445944557,0.01875058050230638,GODREJAGRO.NS,Asia/Kolkata,IST,285300000.0,1.485,14330000384.0,93662601216.0,0.0,0.0,16.91,28.42401,,453.3575,GODREJAGRO.NS,01ab41e0-121d-364b-93bd-6e9326bd1883,4.725146286581207,66449.0,https://www.godrejagrovet.com,400079
600,Godrej Consumer Products Limited,GODREJCP.NS,36253254724.523834,Godrej One,"4th Floor Pirojshanagar, Vikhroli (E) Eastern Express Highway",0.0,603257.0,870758.0,603257.0,0.226134,0.0,134.881,0.18333511868087005,Mumbai,1703980800.0,India,INR,1005.35,1011.95,1001.05,8.275,-0.074,-0.076,26194724864.0,0.19204001,38.708,7.434,1013954117632.0,NSI,1038.769,1102.05,793.85,INR,1025495100.0,361911419.0,19800000.0,0.50676,,Household & Personal Products,0.1996935662359534,1680220800.0,"Godrej Consumer Products Limited, a fast-moving consumer goods company, manufactures and markets personal care and home care products in India, Africa, Indonesia, the Middle East, the United States of America, and internationally. The company offers household insecticides and hygiene, and air and fabric care products; and personal wash and hygiene hair color, and premier beauty and professional products. It provides its products primarily under the Good knight, Godrej Expert, Darling, Saniter, Inecto, Godrej aer, HIT, MegaGrowth, Godrej Ezee, Godrej No.1, Ilicit, Issue, Godrej Protekt, Godrej nupur, Godrej Professional, TCB Naturals, renew, Just for me, ROBY, Pamelagrant Beauty, Villeneuve, Millefiori, African Pride, Stella, Mitu, NYU, and Purest brands. The company was founded in 1897 and is headquartered in Mumbai, India.",Godrej Consumer Products Limited,1028332322816.0,0.0956230560312481,86400.0,1688083200.0,16761600000.0,0.08771206264962195,1711843200.0,1004.9,0.17836,0.0,0.33603126910059133,12.668493150684931,91 22 2518 8010,1005.15,1005.3499755859375,2.0,7.453607,7.539143,0.122889996,EQUITY,buy,1011.95,1001.05,1004.9,1005.15,310505.0,0.17202580725670105,0.104,133.453,Consumer Defensive,1022760000.0,0.035254415250944755,GODREJ CONSUMER PR,0.2928692756721968,0.01936330775675545,GODREJCP.NS,Asia/Kolkata,IST,25627899904.0,25.059,11415300096.0,136399101952.0,0.0,0.0,16.39,61.339233,,972.7435,GODREJCP.NS,e4c9fb3b-65ff-32e7-82aa-59b2c0b5ad5f,4.879553554702373,310505.0,https://www.godrejcp.com,400079
601,Godrej Industries Limited,GODREJIND.NS,2972610927.316367,Godrej One,Pirojshanagar Eastern Express Highway Vikhroli (East),0.0,503534.0,272259.0,503534.0,0.653689,0.0,237.177,0.08382393986159098,Mumbai,1703980800.0,India,INR,536.95,545.65,527.3,137.351,-0.127,-0.127,25001349120.0,0.13638,15.593,2.127,389835554816.0,NSI,497.214,558.0,395.0,INR,1025495100.0,110393784.0,19800000.0,0.31607,53988000000.0,Conglomerates,0.31168947681445164,1680220800.0,"Godrej Industries Limited, together with its subsidiaries, engages in the chemical, consumer goods, real estate, agriculture, and financial services businesses in India and Internationally. The company produces and sells surfactants comprising of fatty acids, esters and waxes, refined glycerine, alpha olefin sulphonates, fatty alcohols, sodium lauryl sulphate, and sodium lauryl ether sulphate. It also produces and sells compound feeds for cattle, poultry, shrimp, and fish; processing and trading of refined vegetable oils and vanaspati; oil palm plantation activities; and development, sale, leasing, and licensing of real estate properties. In addition, the company is involved in the finance and investment activities, including housing finance; processing milk and milk products; and integrated poultry, cattle breeding, agri inputs, and seed businesses, as well as in the energy generation through windmills. Further, it offers hair care, home care, and personal care products. Additionally, the company provides business loan, loan against property, plot, and home loan. The company was formerly known as Godrej Soaps Limited and changed its name to Godrej Industries Limited in April 2001. Godrej Industries Limited was founded in 1897 and is based in Mumbai, India.",Godrej Industries Limited,180853882880.0,0.0956230560312481,86400.0,1688083200.0,9488900096.0,-0.01179911616965712,1711843200.0,545.4,0.121800005,0.0,0.46829669356603015,12.668493150684931,91 22 2518 8010,537.6,536.9500122070312,2.0,2.263921,0.9865512,0.051760003,EQUITY,none,545.65,527.3,545.4,537.6,294403.0,0.08225947468234976,0.153,544.562,Industrials,336688992.0,0.01643653362581522,GODREJ INDUSTRIES,0.44852713811245337,0.019859813161701923,GODREJIND.NS,Asia/Kolkata,IST,45782499328.0,135.999,196424302592.0,183319298048.0,0.0,0.0,28.13,19.088163,,457.48224,GODREJIND.NS,53d2315e-c6a3-3eb6-90e0-da10670716ed,5.004672916748885,294403.0,https://www.godrejindustries.com,400079
602,Godrej Properties Limited,GODREJPROP.NS,11327030308.003208,Godrej One,"5th Floor Pirojshanagar Eastern Express Highway, Vikhroli (East)",0.0,597832.0,759093.0,597832.0,0.957345,0.0,333.219,0.1499789385622079,Mumbai,1703980800.0,India,INR,1643.65,1657.45,1636.15,69.244,1.799,1.743,1034249984.0,0.03513,482.979,16.969,499520569344.0,NSI,1600.462,1769.0,1005.0,INR,1262663100.0,91182693.0,19800000.0,0.38419998,17971200000.0,Real Estate—Development,0.29051265560060097,1680220800.0,"Godrej Properties Limited, together with its subsidiaries, primarily engages in the real estate construction, development, and other related activities in India. The company develops residential, commercial, and township projects. Godrej Properties Limited was incorporated in 1985 and is headquartered in Mumbai, India.",Godrej Properties Limited,456982364160.0,0.0956230560312481,86400.0,1688083200.0,6507800064.0,0.0543558825309598,1711843200.0,1645.8,0.029560002,0.0,0.4657216923579104,12.668493150684931,91 22 6169 8500,1645.8,1643.6500244140625,2.0,4.932642,15.524185,0.22108,EQUITY,hold,1657.45,1636.15,1645.8,1645.8,328721.0,0.14280601173346746,2.826,106.413,Real Estate,278028992.0,0.02478658083189695,GODREJ PROPERTIES,0.42236697930901906,0.022862795259869065,GODREJPROP.NS,Asia/Kolkata,IST,26212399104.0,94.282,64307601408.0,29436801024.0,0.0,0.0,23.72,69.293846,,1339.31,GODREJPROP.NS,ebad131e-a341-3596-baea-4a54cc5be2fe,5.761424405487005,328721.0,https://www.godrejproperties.com,400079
603,Goenka Diamond and Jewels Limited,GOENKA.NS,-3236234.666383088,"1305, Panchratna Building","Mama Parmanand Marg Opera House Girgaon Division, Street No. 184",0.0,157204.0,167489.0,157204.0,0.809072,0.0,8.546,-0.15139389780927237,Mumbai,1672444800.0,India,INR,0.95,0.95,0.85,75.922,,,-15143000.0,-1.2786499,-140.669,179.866,2130147968.0,NSI,0.829,2.15,0.65,INR,1271389500.0,144988835.0,19800000.0,-0.22857,-913000.0,Luxury Goods,0.08192562806358449,1680220800.0,"Goenka Diamond and Jewels Limited engages in cutting and polishing of diamonds, color stones, and precious and semi precious stones in India. It operates in two segments, Diamond and Jewellery. The company is also involved in the manufacture and retail of diamond jewellery. It supplies polished diamonds primarily to wholesalers, jewellery manufacturers, traders, and retailers in India, Hong Kong, South East Asia, and the United States. The company was incorporated in 1990 and is based in Mumbai, India.",Goenka Diamond and Jewels Limited,308236064.0,0.0956230560312481,86400.0,1688083200.0,-27276000.0,-0.24701695384052047,1711843200.0,0.95,-1.76552,0.0,0.09150686977488327,12.668493150684931,91 22 2367 6030,0.9,0.949999988079071,4.0,0.111163124,26.026857,-2.3031301,EQUITY,none,0.95,0.85,0.95,0.9,337599.0,-0.16775761028097136,-0.84,0.035,Consumer Cyclical,317000000.0,-0.010499208380700994,GOENKA DIAMOND & J,0.1182800831106075,0.06340523766781554,GOENKA.NS,Asia/Kolkata,IST,5879000.0,0.015,1812449024.0,11843000.0,0.0,0.0,-0.09,,,1.04625,GOENKA.NS,0ad601d5-1566-35ba-801b-c3ca4c2bc243,15.978119892289516,337599.0,https://www.goenkadiamonds.com,400004
604,Gokaldas Exports Limited,GOKEX.NS,726456707.0077496,"No. 25, Second Cross",Third Main Industrial Suburb Yeshwantpur,0.0,1994223.0,584295.0,1994223.0,0.464793,0.0,146.292,0.15092226589223356,Bengaluru,1672444800.0,India,INR,770.85,800.0,748.05,17.423,-0.213,-0.174,2662490368.0,0.12522,18.945,2.372,50442063872.0,NSI,546.274,882.4,328.0,INR,1114573500.0,30608861.0,19800000.0,0.47742,10123259000.0,Apparel Manufacturing,0.19024392283980968,1680220800.0,"Gokaldas Exports Limited designs, manufactures, and sells readymade garments and related products in India and internationally. The company's products include high fashion garments, outerwear, bottom wear, casualwear, and sportswear, such as Jackets, pants, and tops/shirts for men, women, and children. It serves international fashion brands and retailers. The company also exports its products to approximately 50 countries. Gokaldas Exports Limited was founded in 1979 and is based in Bengaluru, India.",Gokaldas Exports Limited,47103557632.0,0.0956230560312481,86400.0,1688083200.0,1661261056.0,0.055299209860985465,1711843200.0,794.0,0.08656,0.0,0.29048702090487466,12.668493150684931,91 80 6895 1000,789.8,770.8499755859375,2.0,5.2692556,2.2153757,0.07813,EQUITY,strong_buy,800.0,748.05,794.0,789.8,589997.0,0.14364394405364914,-0.157,351.01,Consumer Cyclical,60651500.0,0.015422544358183004,GOKALDAS EXPORTS L,0.27812063347179733,0.03695989700325299,GOKEX.NS,Asia/Kolkata,IST,3679774976.0,60.704,1544114048.0,21262108672.0,0.0,0.0,30.44,25.323586,,427.3865,GOKEX.NS,6f5c7f56-4aa2-3206-ab61-2ddd9de4cedb,9.313894044819753,589997.0,https://www.gokaldasexports.com,560022
605,Gokul Refoils and Solvent Limited,GOKUL.NS,-30152601.07008274,"Office No. 501, Gokul Pratham","Fifth floor, Block A SWA Scheme, Near Tapovan Circle Gandhinagar Highway, AT.P. 44",0.0,92689.0,103048.0,92689.0,0.444143,0.0,32.977,-0.0884420605243903,Ahmedabad,1672444800.0,India,INR,30.8,31.25,30.4,129.492,-0.629,-0.638,524874496.0,0.0189,10.893,0.206,5717340672.0,NSI,30.766,44.25,25.0,INR,1212551100.0,21592792.0,19800000.0,0.055570003,1572855000.0,Packaged Foods,0.12071167388441363,1688083200.0,"Gokul Refoils & Solvent Limited engages in the seed processing, solvent extraction, and refining edible and non-edible industrial oils in India and internationally. The company provides a range of oils, including kachi ghani oil, mustard oil, groundnut oil, refined cottonseed oil, soyaben refined oil, palmolein oil, castor oil, sunflower oil, and de-oiled cake/oil cake. It also offers organic manures/fertilizers; and trades in agro commodities, such as spices. The company was incorporated in 1992 and is headquartered in Ahmedabad, India.",Gokul Refoils & Solvent Limited,3049046016.0,0.0956230560312481,86400.0,1688083200.0,196960992.0,-0.1840651165556384,1719705600.0,30.85,0.016,0.0,0.16866279010545657,12.668493150684931,91 79 3501 5555,30.85,30.799999237060547,2.0,0.9339842,0.1098243,0.00709,EQUITY,none,31.25,30.4,30.85,30.85,81472.0,-0.09465968957894351,-0.38,282.352,Consumer Defensive,98995000.0,-0.009889191869147159,GOKUL REFOILS & SO,0.1798273362143699,0.03798426542589935,GOKUL.NS,Asia/Kolkata,IST,1548813056.0,15.944,4249884928.0,27762946048.0,0.0,0.0,2.06,14.951456,,32.46875,GOKUL.NS,778cb995-b35c-387f-9b22-1bb3c1a3b807,9.572034887326636,81472.0,https://www.gokulgroup.com,382424
606,Gokul Agro Resources Limited,GOKULAGRO.NS,559171034.204279,Crown-3,"Inspire Business Park Shantigram, Near Vaishnodevi Circle S.G. Highway",0.0,139396.0,212330.0,139396.0,0.480365,0.0,45.063,0.37241410225200244,Ahmedabad,1672444800.0,India,INR,111.25,113.9,109.15,74.419,-0.177,-0.149,2805660672.0,0.02712,6.287,0.171,17640538112.0,NSI,111.135,152.5,78.65,INR,1457927100.0,31763486.0,19800000.0,0.052199997,,Packaged Foods,0.1265624405324889,1680220800.0,"Gokul Agro Resources Limited manufactures and trades in edible and non-edible oils, meals, and other agro products in India. The company offers soya bean oil, cottonseed oil, sunflower oil, ricebean, palmolein, groundnut oil, vanaspati, etc.; and other industrial products, such as castor oil of various grades and its derivatives. It also provides castor seed and soya bean meals; hulled, natural, and black sesame seeds; fenugreek, cumin, and ajwain seeds; oleochemical products; and wheat, rice, barley, maize, and chick peas. The company offers its products under the Vitalife, Zaika, Mahek, Pride, Richfield, Puffpride, and Biscopride brand names. The company also exports its products. Gokul Agro Resources Limited was incorporated in 2014 and is based in Ahmedabad, India.",Gokul Agro Resources Limited,16414159872.0,0.13853110234084776,86400.0,1688083200.0,1281860992.0,0.2338829999111547,1711843200.0,110.2,0.024319999,0.0,0.16217412449393873,7.471232876712329,91 79 6712 3500,109.45,111.25,2.0,2.468766,0.15867047,0.01239,EQUITY,none,113.9,109.15,110.2,109.45,172352.0,0.3230486970968527,-0.138,711.353,Consumer Defensive,147543008.0,0.03406638162201269,GOKUL AGRO RES LTD,0.185300993406819,0.03763062624078363,GOKULAGRO.NS,Asia/Kolkata,IST,3348561920.0,22.697,4841800192.0,103448109056.0,0.0,0.0,8.83,12.599094,,113.76896,GOKULAGRO.NS,54b58ca2-7710-34e6-bbe8-d02cea324da8,9.482917812677474,172352.0,https://www.gokulagro.com,382421
